Ngay	Loai	So tien	Dien giai	BO/GIU	Danh muc em doan	ANH SUA	Nguoi	Ghi chu cua em
2026-04-01	Thu	2002100449	Tồn tháng trước	BO	Tồn tháng trước			
2026-04-02	Chi	1050000000	Chuyển tiền mua nhà cho a Hải	BO	Mua nhà / nợ			
2026-04-02	Chi	1050000000	Chuyển tiền mua nhà cho chị Nguyệt	BO	Mua nhà / nợ			
2026-03-30	Thu	460000000	Mượn mẹ để mua nhà	BO	Mua nhà / nợ			
2026-03-28	Thu	427760000	Bán vàng Mi hồng	BO	Vàng			
2026-03-30	Thu	400000000	Mượn mẹ để mua nhà	BO	Mua nhà / nợ			
2026-03-14	Thu	277200000	Bán vàng KIM TÍN 2	BO	Vàng			
2026-06-01	Thu	147189116	Tồn tháng trước	BO	Tồn tháng trước			
2026-05-01	Thu	143504306	Tồn tháng trước	BO	Tồn tháng trước			
2026-07-01	Thu	119048520	Tồn tháng trước	BO	Tồn tháng trước			
2026-08-01	Thu	105644727	Tồn tháng trước	BO	Tồn tháng trước			
2026-03-01	Thu	102362868	Tồn tháng trước	BO	Tồn tháng trước			
2026-01-20	Chi	100000000	Chuyển tiền cho chồng mua vàng	BO	Vàng		Chương	
2026-02-14	Thu	100000000	Chồng chuyển tiền thưởng 2025	BO	Chuyển nội bộ		Chương	
2026-03-12	Chi	100000000	Chuyển tiền đặt cọc nhà	BO	Mua nhà / nợ			
2026-03-27	Thu	100000000	Chồng chuyển tiền quỹ riêng và ccq 80 +20	BO	Chuyển nội bộ		Chương	
2026-03-30	Thu	100000000	Mượn mẹ để mua nhà	BO	Mua nhà / nợ			
2026-03-30	Thu	100000000	Mượn mẹ để mua nhà	BO	Mua nhà / nợ			
2026-01-01	Thu	98906781	Tồn tháng trước	BO	Tồn tháng trước			
2025-12-01	Thu	93055372	Tồn tháng trước	BO	Tồn tháng trước			
2026-03-30	Thu	90000000	Mượn mẹ để mua nhà	BO	Mua nhà / nợ			
2026-01-17	Thu	50000000	Chồng chuyển lương + tháng 13	BO	Chuyển nội bộ		Chương	
2026-04-20	Chi	40000000	Chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2026-03-29	Thu	38750000	Chồng chuyển vàng 1c + 7tr cash	BO	Vàng		Chương	
2026-02-01	Thu	32638064	Tồn tháng trước	BO	Tồn tháng trước			
2026-04-16	Thu	25000000	Chồng chuyển tiền	BO	Chuyển nội bộ		Chương	
2026-06-16	Thu	22000000	Chồng chuyển lương	BO	Chuyển nội bộ		Chương	
2026-07-15	Thu	22000000	Chồng chuyển lương	BO	Chuyển nội bộ		Chương	
2026-03-16	Thu	20000000	Chồng chuyển lương	BO	Chuyển nội bộ		Chương	
2026-01-02	Chi	18000000	Chuyển tiền cho chồng trả thẻ (mua máy sấy)	BO	Chuyển nội bộ		Chương	
2026-03-12	Chi	18000000	Rút tiền mặt để cọc nhà	BO	Mua nhà / nợ			
2026-03-14	Thu	15800000	Bán vàng nhẫn chợ Hựu Thành	BO	Vàng			
2026-04-20	Chi	15000000	Chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2026-01-05	Thu	11000000	Chồng chuyển tiền cho vợ	BO	Chuyển nội bộ		Thư	
2026-02-01	Chi	11000000	Vợ chuyển anh để lì xì tết	BO	Chuyển nội bộ		Thư	
2026-05-20	Thu	11000000	Chồng chuyển lương	BO	Chuyển nội bộ		Chương	
2026-03-01	Thu	10000000	Chồng chuyển lương	BO	Chuyển nội bộ		Chương	
2026-05-31	Chi	7925000	Mua nửa chỉ vàng	BO	Vàng			
2026-06-04	Thu	5500000	Chồng chuyển tiền cho thuê nhà	BO	Chuyển nội bộ		Chương	
2026-01-24	Chi	5000000	Vợ chuyển chồng bữa mua vàng	BO	Vàng		Thư	
2026-04-30	Chi	5000000	Vợ chuyển tiền đi Đà Lạt (2tr +3tr)	BO	Chuyển nội bộ		Thư	
2026-08-10	Chi	5000000	Chuyển 5tr cho chồng (chồng rút tiền mặt từ chú Út để trả tiền măng cụt cho mẹ)	BO	Chuyển nội bộ		Chương	
2026-02-10	Chi	4000000	Chuyển khoản cho chồng TP Bank	BO	Chuyển nội bộ		Chương	
2026-02-10	Chi	4000000	Chuyển khoản cho chồng TP Bank	BO	Chuyển nội bộ		Chương	
2026-02-12	Thu	4000000	Chồng trả tiền vợ chuyển nhầm	BO	Chuyển nội bộ		Thư	
2026-04-20	Chi	4000000	Chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2025-12-12	Chi	3000000	Chuyển cho chồng	BO	Chuyển nội bộ		Chương	
2025-12-26	Chi	3000000	Chuyển chồng đi khám bệnh	BO	Chuyển nội bộ		Chương	
2026-03-03	Chi	2000000	Vợ chuyển chồng	BO	Chuyển nội bộ		Thư	
2026-07-07	Chi	2000000	chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2026-07-19	Chi	2000000	Vợ chuyển chồng trả tiền thẻ	BO	Chuyển nội bộ		Thư	
2026-04-09	Chi	1500000	Chuyển tiền cho chồng đi đám cưới Hạ	BO	Chuyển nội bộ		Chương	
2026-04-04	Chi	1000000	Chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2026-04-12	Chi	1000000	Chuyển tiền cho chồng	BO	Chuyển nội bộ		Chương	
2026-06-28	Chi	220000	vợ chuyển tiền xe đi Phan Thiết	BO	Chuyển nội bộ		Thư	
2025-12-15	Thu	20000000	Lương chồng	GIU	Lương		Chương	
2026-01-30	Thu	13000000	Lương vợ tháng 1 + thưởng tháng 13	GIU	Lương		Thư	
2026-02-24	Chi	10320000	Vợ đóng tiền tập kickboxing (7 tháng)	GIU	Giải trí		Thư	
2025-12-31	Thu	7000000	Lương vợ tháng 12	GIU	Lương		Thư	
2026-02-27	Thu	7000000	Lương vợ tháng 2	GIU	Lương		Thư	
2026-03-31	Chi	7000000	Lương vợ tháng 3	GIU	Khác		Thư	SO CU GHI CHI - co the nham, cac thang khac ghi Thu
2026-04-29	Thu	7000000	Lương vợ tháng 4	GIU	Lương		Thư	
2026-05-29	Thu	7000000	Lương vợ tháng 5	GIU	Lương		Thư	
2026-06-30	Thu	7000000	Lương vợ tháng 6	GIU	Lương		Thư	
2026-08-31	Thu	7000000	Lương vợ tháng 7	GIU	Lương		Thư	
2026-01-15	Chi	6066000	Tiền phòng tháng 1/2026	GIU	Hoá đơn			
2026-02-15	Chi	5926000	Tiền phòng tháng 2	GIU	Hoá đơn			
2025-12-14	Chi	5785000	Tiền phòng trọ	GIU	Hoá đơn			
2026-03-16	Chi	4800000	Tiền phòng	GIU	Hoá đơn			
2026-04-15	Chi	4800000	Tiền nhà tháng 4	GIU	Hoá đơn			
2026-05-15	Chi	4800000	Tiền nhà tháng 5	GIU	Hoá đơn			
2026-07-16	Chi	4800000	Tiền phòng tháng 7	GIU	Hoá đơn			
2026-05-31	Chi	3322000	Mua vòng tay tặng bé Mây đầy tháng	GIU	Biếu tặng			
2026-06-02	Thu	2750000	Tiền cho thuê nhà HVC	GIU	Cho thuê			
2026-06-05	Chi	2750000	Chuyển tiền cho mẹ 	GIU	Biếu tặng			
2026-07-04	Thu	2750000	Tiền cho thuê nhà HVC	GIU	Cho thuê			
2026-04-15	Chi	1746000	Tiền điện nước tháng 4	GIU	Hoá đơn			
2026-02-11	Chi	1600000	Vợ đổi tiền 20k mới để lì xì Tết	GIU	Biếu tặng		Thư	
2026-04-27	Thu	1455000	Chị Mỹ Linh chuyển tiền xăng	GIU	Khác			
2026-05-16	Chi	1437000	Tiền điện nước tháng 5	GIU	Hoá đơn			
2026-07-17	Chi	1423000	Tiền điện nước	GIU	Hoá đơn			
2026-07-26	Chi	1273000	Mua đồ Uniqlo cho vợ	GIU	Mua sắm cá nhân		Thư	
2026-03-16	Chi	1155000	Tiền điện nước	GIU	Hoá đơn			
2025-12-17	Chi	1000000	Chuyển tiền cho mẹ (mẹ té xe)	GIU	Biếu tặng			
2026-01-07	Chi	1000000	Chuyển tiền cho Bố bị bệnh	GIU	Biếu tặng			
2026-01-15	Chi	1000000	Vợ rút tiền mặt đóng nhà trọ và đưa chồng 1tr	GIU	Khác		Thư	
2026-07-18	Chi	900000	Vợ nhuộm tóc (Salon Khánh)	GIU	Mua sắm cá nhân		Thư	
2026-03-11	Chi	850000	Đóng hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-06-08	Chi	850000	Hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-07-04	Chi	850000	Đóng hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-01-13	Thu	800000	Bikelead TCB	GIU	Kinh doanh			
2025-12-10	Chi	790000	Hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-01-05	Chi	790000	Đóng hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-01-30	Chi	774000	Ốc Như	GIU	Khác			
2026-02-12	Chi	750000	Đóng hụi 15	GIU	Khác			de xuat xep vao lo Tiet kiem
2026-07-01	Chi	708280	Đi chợ kingfood	GIU	Chợ/Siêu thị			
